time,action,target_distance,origin_distance,velocity.north,velocity.east,velocity.down,battery,current_lat,current_lon,current_alt,origin_lat,origin_lon,origin_alt,target_lat,target_lon,target_alt,onWater,bad_connection,is_armed,goals,scenario_name
04:56:36,,,,,,,,,,,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,,False,,
04:56:37,,123.33648628464566,0.022190439212104868,-0.009999999776482582,0.0,0.04999999701976776,,-3.786466,-38.553057599999995,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,,False,,
04:56:38,,123.29691494725003,0.03515525509076992,-0.009999999776482582,0.0,0.04999999701976776,,-3.7864663,-38.5530573,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:39,,123.2596907128503,0.07113888133261702,-0.009999999776482582,0.0,0.04999999701976776,100.0,-3.7864665,-38.553056999999995,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:40,,123.32945312223565,0.04006499277351313,-0.009999999776482582,-0.009999999776482582,0.04999999701976776,100.0,-3.7864663,-38.553057599999995,-0.4,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:41,,123.31392262324216,0.05669375481936982,-0.009999999776482582,-0.009999999776482582,0.04999999701976776,100.0,-3.7864665,-38.5530575,-0.4,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,Arm
04:56:42,,123.27991293094477,0.03509384957887216,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,100.0,-3.7864660999999997,-38.5530571,0.0,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:43,,123.32798731066157,0.015708183366518375,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,99.0,-3.7864658999999996,-38.5530575,-0.0,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:44,,123.34967791043435,0.035093848850422237,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,99.0,-3.7864658999999996,-38.5530577,-0.1,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:45,,123.27522305181424,0.047124550024212855,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,96.0,-3.7864663,-38.5530571,0.8,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:46,,123.27756751219395,0.0400313331087465,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,96.0,-3.7864662,-38.5530571,2.9,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:47,,123.34498667425635,0.03509384883112928,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,93.0,-3.7864660999999997,-38.5530577,3.9,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
